Date,Troops,Planes,Helicopters,Tanks,Artillery Pieces,Armored Personal Carriers,Mobile SRBM Systems,MLRS,Boats,Vehicles,Fuel Tanks,UAV,Anti-Aircraft,Special Equipment
2022-02-26,3500,14,8,102,15,546,0,1,0,0,0,0,0,0
2022-02-27,4300,27,26,146,49,706,0,5,2,30,60,2,0,0
2022-02-28,5300,29,29,191,74,816,0,22,2,291,60,3,5,0
2022-03-01,5710,29,29,198,77,846,0,24,2,305,60,3,7,0
2022-03-02,5840,30,31,211,85,862,0,40,2,355,60,3,9,0
2022-03-03,9000,30,31,217,90,900,0,42,2,374,60,3,11,0
2022-03-04,9166,33,37,251,105,939,0,50,2,404,60,3,18,0
2022-03-05,10000,39,40,269,105,945,0,50,2,409,60,3,18,0
2022-03-06,11000,44,48,285,109,985,0,50,2,447,60,4,21,0
2022-03-07,11000,46,68,290,117,999,0,50,2,454,60,7,23,0
2022-03-08,12000,48,80,303,120,1036,0,56,2,474,60,7,27,0
2022-03-09,12000,49,81,317,120,1070,0,56,2,482,60,7,28,0
2022-03-10,12000,49,81,335,123,1105,0,56,2,526,60,7,29,0
2022-03-11,12000,57,83,353,125,1165,0,58,2,558,60,7,31,0
2022-03-12,12000,58,83,362,135,1205,0,62,2,585,60,7,33,0
2022-03-13,12000,74,86,374,140,1226,0,62,2,600,60,7,34,0
2022-03-14,12000,77,90,389,150,1249,0,64,2,617,60,8,34,0
2022-03-15,13500,81,95,404,150,1279,0,64,2,640,60,9,36,0
2022-03-16,13800,84,108,430,190,1375,0,70,2,819,60,11,43,0
2022-03-17,14000,86,108,444,201,1435,0,72,2,864,60,11,43,0
2022-03-18,14200,93,112,450,205,1448,0,72,3,879,60,12,43,0
2022-03-19,14400,95,115,466,213,1470,0,72,3,914,60,17,44,11
2022-03-20,14700,96,118,476,230,1487,0,74,3,947,60,21,44,12
2022-03-21,15000,97,121,498,240,1535,0,80,3,969,60,24,45,13
2022-03-22,15300,99,123,509,252,1556,0,80,3,1000,70,35,45,15
2022-03-23,15600,101,124,517,267,1578,0,80,4,1008,70,42,47,15
2022-03-24,15800,108,124,530,280,1597,0,82,4,1033,72,50,47,16
2022-03-25,16100,115,125,561,291,1625,0,90,5,1089,72,53,49,18
2022-03-26,16400,117,127,575,293,1640,2,91,7,1131,73,56,51,20
2022-03-27,16600,121,127,582,294,1664,4,93,7,1144,73,56,52,21
2022-03-28,17000,123,127,586,302,1694,4,95,7,1150,73,66,54,21
2022-03-29,17200,127,129,597,303,1710,4,96,7,1178,73,71,54,21
2022-03-30,17300,131,131,605,305,1723,4,96,7,1184,75,81,54,21
2022-03-31,17500,135,131,614,311,1735,4,96,7,1201,75,83,54,22
2022-04-01,17700,143,131,625,316,1751,4,96,7,1220,76,85,54,24
2022-04-02,17800,143,134,631,317,1776,4,100,7,1236,76,87,54,24
2022-04-03,18000,143,134,644,325,1830,4,105,7,1249,76,89,54,24
2022-04-04,18300,147,134,647,330,1844,4,107,7,1273,76,92,54,25
2022-04-05,18500,150,134,676,332,1858,4,107,7,1322,76,94,55,25
2022-04-06,18600,150,135,684,332,1861,4,107,7,1324,76,96,55,25
2022-04-07,18900,150,135,698,332,1891,4,108,7,1358,76,111,55,25
2022-04-08,19000,150,135,700,333,1891,4,108,7,1361,76,112,55,25
2022-04-09,19100,151,136,705,335,1895,4,108,7,1363,76,112,55,25
2022-04-10,19300,152,137,722,342,1911,4,108,7,1384,76,112,55,25
2022-04-11,19500,154,137,725,347,1923,4,111,7,1387,76,119,55,25
2022-04-12,19600,157,140,732,349,1946,4,111,7,1406,76,124,63,25
2022-04-13,19800,158,143,739,358,1964,4,116,7,1429,76,132,64,25
2022-04-14,19900,160,144,753,366,1968,4,122,7,1437,76,134,64,25
2022-04-15,20000,163,144,756,366,1976,4,122,7,1443,76,135,66,25
2022-04-16,20100,163,145,762,371,1982,4,125,8,1458,76,138,66,26
2022-04-17,20300,165,146,773,376,2002,4,127,8,1471,76,148,66,27
2022-04-18,20600,167,147,790,381,2041,4,130,8,1487,76,155,67,27
2022-04-19,20800,169,150,802,386,2063,4,132,8,1495,76,158,67,27
2022-04-20,20900,171,150,815,391,2087,4,136,8,1504,76,165,67,27
2022-04-21,21000,172,151,829,393,2118,4,136,8,1508,76,166,67,27
2022-04-22,21200,176,153,838,397,2162,4,138,8,1523,76,172,69,27
2022-04-23,21600,177,154,854,403,2205,4,143,8,1543,76,182,69,27
2022-04-24,21800,179,154,873,408,2238,4,147,8,1557,76,191,69,28
2022-04-25,21900,181,154,884,411,2258,4,149,8,1566,76,201,69,28
2022-04-26,22100,184,154,918,416,2308,4,149,8,1643,76,205,69,31
